address|lat|lon|state|district
Hari Budha B.O|33.709135|74.282486|JAMMU & KASHMIR|PUNCH
Korkai B.O|8.633333|78.066667|TAMIL NADU|THOOTHUKKUDI
Mahuawa B.O|27.13935|83.531007|UTTAR PRADESH|KISHANGANJ
Jharkhali Bazar B.O|22.049707|88.668743|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Kotwa B.O|26.359245|81.414162|UTTAR PRADESH|RAE BARELI
Madwan B.O|34.322116|74.63126|JAMMU & KASHMIR|BARAMULA
Muchiyali B.O|29.868768|78.838264|UTTARAKHAND|GARHWAL
Sonpijang B.O|25.3478|93.017571|ASSAM|CACHAR
Sakhwara B.O|26.855676|77.851021|RAJASTHAN|DHAULPUR
Siswan B.O|30.866947|76.743752|PUNJAB|CHANDIGARH
Nedgaon B.O|20.007259|80.801621|CHATTISGARH|KORIYA
Kotra Bahadur Ganj B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Korampollam S.O|8.781404|78.090865|TAMIL NADU|THOOTHUKKUDI
Jhumri Telaiya S.O|24.43|85.52|JHARKHAND|KODARMA
Jhumari Telaiya Bazar S.O|24.435799|85.532054|JHARKHAND|KODARMA
Mukurala B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Manicktala Bazar S.O|22.585|88.375|WEST BENGAL|HUGLI
Sadikpur B.O|26.772244|77.959588|RAJASTHAN|DHAULPUR
Moxan Uniyal B.O|29.663353|79.02919|UTTARAKHAND|GARHWAL
Rudraram B.O|18.834387|80.387383|CHATTISGARH|BIJAPUR
Pareewan B.O|26.632559|81.19404|UTTAR PRADESH|BARA BANKI
Palanagari B.O|22.008951|81.224344|CHATTISGARH|KABEERDHAM
Mudwin B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Joka S.O (South 24 Parganas)|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Mudmal B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Manikpat B.O|22.798143|87.778793|WEST BENGAL|HUGLI
Maniktala Bazar S.O|22.585|88.375|WEST BENGAL|HUGLI
L C Hathras B.O|27.6|78.05|UTTAR PRADESH|MATHURA
Jogendrapurabad B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Jogendranagar B.O|22.379355|88.713304|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Ponkh S.O|27.836968|75.614989|RAJASTHAN|JHUNJHUNU
